河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,173.28,,1.33,28900,--,--,--,2021-09-03 23:00
,武隆,175.93,,0.06,2600,--,--,--,2021-09-03 23:00
,宜昌,47.52,,-0.29,28100,52.00,53.00,55.73,2021-09-03 23:00
,枝城,43.81,,-0.12,28200,48.00,49.00,51.75,2021-09-03 23:00
,沙市,39.20,,-0.05,24600,42.00,43.00,45.00,2021-09-03 23:00
,监利,33.37,,-0.02,23400,34.50,35.70,37.23,2021-09-03 23:00
,莲花塘,30.33,,0.04,,--,32.50,34.40,2021-09-03 23:00
,螺山,29.37,,0.02,35500,31.00,32.00,34.01,2021-09-03 23:00
,汉口,24.64,,0.04,44000,25.00,27.30,29.73,2021-09-03 23:00
,黄石,21.15,,0.06,,22.80,24.50,27.50,2021-09-03 23:00
,码头镇,18.73,,0.06,,20.50,21.50,24.50,2021-09-03 23:00
,九江,17.61,,0.11,46100,--,20.00,23.25,2021-09-03 23:00
,三峡水库,159.13,,0.32,26500(出),--,--,--,2021-09-03 23:00
洞庭湖,城陵矶,30.37,,0.00,11500,--,33.00,34.55,2021-09-03 23:00
鄱阳湖,湖口,16.97,,0.10,1510,--,19.50,22.50,2021-09-03 23:00
湘江,湘潭,31.78,缺测,-0.08,1160,--,38.00,39.50,2021-09-03 23:00
资水,桃江,33.94,,0.22,957,--,39.20,42.30,2021-09-03 23:00
沅水,桃源,33.71,,-0.06,2700,--,42.50,45.40,2021-09-03 23:00
澧水,石门,51.67,,-0.27,709,--,58.50,61.00,2021-09-03 23:00
松滋河,新江口,41.03,,-0.06,2410,43.00,44.00,45.77,2021-09-03 23:00
,沙道观,40.87,,-0.04,801,43.00,44.00,45.21,2021-09-03 23:00
藕池河,管家铺,35.54,,-0.03,1390,37.50,38.50,39.50,2021-09-03 23:00
,康家岗,35.30,,-0.04,42.0,37.50,38.50,39.87,2021-09-03 23:00
虎渡河,弥陀寺,39.02,,-0.04,710,42.00,43.00,44.15,2021-09-03 23:00
长湖,长湖,30.88,,-0.02,,31.50,32.50,33.50,2021-09-03 23:00
洪湖,挖沟咀,25.46,,-0.02,,25.80,26.20,27.00,2021-09-03 23:00
刁汊湖,五房台,24.11,,0.00,,--,24.80,26.00,2021-09-03 23:00
斧头湖,三洲,21.91,,-0.05,,21.50,22.80,23.94,2021-09-03 23:00
梁子湖,梁子镇,19.15,,-0.02,,19.00,20.50,21.36,2021-09-03 23:00
汉江,安康,239.12,,-0.37,2790,--,--,--,2021-09-03 23:00
,白河,179.80,,-0.31,4710,--,187.00,191.00,2021-09-03 23:00
,黄家港,93.63,,-0.04,8350,--,--,--,2021-09-03 23:00
,襄阳,65.89,,0.15,,65.50,67.00,70.00,2021-09-03 23:00
,宜城,56.93,,0.06,,56.50,57.50,59.30,2021-09-03 23:00
,皇庄,47.82,,-0.33,9920,47.00,48.00,50.62,2021-09-03 23:00
,沙洋,41.91,,-0.04,,40.80,41.80,44.50,2021-09-03 23:00
,岳口,38.06,,0.24,,36.90,37.90,40.62,2021-09-03 23:00
,仙桃,35.29,,0.28,8450,34.10,35.10,36.20,2021-09-03 23:00
,汉川,30.21,,0.27,,28.00,29.00,31.69,2021-09-03 23:00
,丹江口水库,165.88,,0.03,"8720(入)
8720(出)",--,--,--,2021-09-03 23:00
清江,水布垭,395.37,,-0.55,"739(入)
1030(出)",--,--,--,2021-09-03 23:00
,隔河岩,196.03,,0.20,"375(入)
635(出)",--,--,--,2021-09-03 23:00
沮漳河,河溶,41.54,,-0.35,129,47.50,48.50,50.00,2021-09-03 23:00
东荆河,潜江,39.37,,0.22,2100,38.40,39.70,42.11,2021-09-03 23:00
汉北河,天门,24.50,,0.00,61.6,28.30,29.30,30.00,2021-09-03 23:00
大富水,应城,24.11,,-0.02,43.5,27.50,29.00,33.00,2021-09-03 23:00
环水,花园,32.63,,-0.03,20.5,--,37.50,39.95,2021-09-03 23:00
,孝感,24.50,,-0.02,,26.50,27.50,31.00,2021-09-03 23:00
府河,隔蒲潭,24.54,,-0.36,155,29.50,30.50,33.50,2021-09-03 23:00
府澴河,卧龙潭,24.08,,-0.01,,26.50,27.00,29.69,2021-09-03 23:00
富水,阳新,19.30,,0.09,,20.50,21.70,23.00,2021-09-03 23:00
滠水,黄陂,24.19,,0.04,,25.00,26.00,29.31,2021-09-03 23:00
倒水,李家集,24.53,,0.19,,26.30,28.00,30.73,2021-09-03 23:00
举水,柳子港,23.54,,0.01,71.8,28.00,29.00,33.11,2021-09-03 23:00
巴水,马家潭,21.66,,0.00,227,--,--,--,2021-09-03 23:00
蕲水,西河驿,20.26,,0.06,171,--,--,--,2021-09-03 23:00
